Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	A100_1 Spectral Count	A100_2 Spectral Count	A100_3 Spectral Count	A100_4 Spectral Count	A100_5 Spectral Count	A100_6 Spectral Count	A100_7 Spectral Count	A100_8 Spectral Count	B100_1 Spectral Count	B100_2 Spectral Count	B100_3 Spectral Count	B100_4 Spectral Count	B100_5 Spectral Count	B100_6 Spectral Count	B100_7 Spectral Count	B100_8 Spectral Count	A100_1 Unique Spectral Count	A100_2 Unique Spectral Count	A100_3 Unique Spectral Count	A100_4 Unique Spectral Count	A100_5 Unique Spectral Count	A100_6 Unique Spectral Count	A100_7 Unique Spectral Count	A100_8 Unique Spectral Count	B100_1 Unique Spectral Count	B100_2 Unique Spectral Count	B100_3 Unique Spectral Count	B100_4 Unique Spectral Count	B100_5 Unique Spectral Count	B100_6 Unique Spectral Count	B100_7 Unique Spectral Count	B100_8 Unique Spectral Count	A100_1 Total Spectral Count	A100_2 Total Spectral Count	A100_3 Total Spectral Count	A100_4 Total Spectral Count	A100_5 Total Spectral Count	A100_6 Total Spectral Count	A100_7 Total Spectral Count	A100_8 Total Spectral Count	B100_1 Total Spectral Count	B100_2 Total Spectral Count	B100_3 Total Spectral Count	B100_4 Total Spectral Count	B100_5 Total Spectral Count	B100_6 Total Spectral Count	B100_7 Total Spectral Count	B100_8 Total Spectral Count	A100_1 Intensity	A100_2 Intensity	A100_3 Intensity	A100_4 Intensity	A100_5 Intensity	A100_6 Intensity	A100_7 Intensity	A100_8 Intensity	B100_1 Intensity	B100_2 Intensity	B100_3 Intensity	B100_4 Intensity	B100_5 Intensity	B100_6 Intensity	B100_7 Intensity	B100_8 Intensity	A100_1 MaxLFQ Intensity	A100_2 MaxLFQ Intensity	A100_3 MaxLFQ Intensity	A100_4 MaxLFQ Intensity	A100_5 MaxLFQ Intensity	A100_6 MaxLFQ Intensity	A100_7 MaxLFQ Intensity	A100_8 MaxLFQ Intensity	B100_1 MaxLFQ Intensity	B100_2 MaxLFQ Intensity	B100_3 MaxLFQ Intensity	B100_4 MaxLFQ Intensity	B100_5 MaxLFQ Intensity	B100_6 MaxLFQ Intensity	B100_7 MaxLFQ Intensity	B100_8 MaxLFQ Intensity	Indistinguishable Proteins
contam_contam_contam_sp|O82803|SRPP_HEVBR	contam_contam_contam_sp|O82803|SRPP_HEVBR Small rubber particle protein OS=Hevea brasiliensis OX=3981 GN=SRPP PE=1 SV=1	contam_contam_contam_sp|O82803|SRPP_HEVBR Small rubber particle protein OS=Hevea brasiliensis OX=3981 GN=SRPP PE=1 SV=1		204			contam_contam_contam_sp|O82803|SRPP_HEVBR Small rubber particle protein OS=Hevea brasiliensis OX=3981 GN=SRPP PE=1 SV=1	1.0	0.999	3	57	57	57	5	4	4	4	5	3	6	5	2	3	4	2	1	3	4	2	5	4	4	4	5	3	6	5	2	3	4	2	1	3	4	2	5	4	4	4	5	3	6	5	2	3	4	2	1	3	4	2	90432.18	80565.75	76401.22	73507.25	70330.1	65046.992	63775.14	71294.61	42161.88	42636.61	38967.45	43402.01	37972.496	36617.85	42524.633	5158.2026	60746.203	61994.12	59303.406	68386.83	54128.168	50740.605	53635.93	56917.668	29107.1	37745.805	36372.086	27640.473	24890.703	20837.873	32559.994	22503.86	
contam_contam_contam_sp|P00366|DHE3_BOVIN	contam_contam_contam_sp|P00366|DHE3_BOVIN Glutamate dehydrogenase 1, mitochondrial OS=Bos taurus OX=9913 GN=GLUD1 PE=1 SV=2	contam_contam_contam_sp|P00366|DHE3_BOVIN Glutamate dehydrogenase 1, mitochondrial OS=Bos taurus OX=9913 GN=GLUD1 PE=1 SV=2		558			contam_contam_contam_sp|P00366|DHE3_BOVIN Glutamate dehydrogenase 1, mitochondrial OS=Bos taurus OX=9913 GN=GLUD1 PE=1 SV=2	0.9999	0.9989	2	6	0	6	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	6368.212	7185.8057	6938.2217	6850.509	6629.449	6499.1133	6618.2295	6330.351	3749.9102	4559.266	0.0	3712.1182	0.0	3118.484	0.0	2220.7344	3571.8728	3985.6934	3811.9924	3965.688	3677.61	3607.9673	3763.2507	3449.0212	3749.9102	4559.266	0.0	3712.1182	0.0	3118.484	0.0	2220.7344	sp|P00367|DHE3_HUMAN
contam_contam_contam_sp|P00761|TRYP_PIG	contam_contam_contam_sp|P00761|TRYP_PIG Trypsin OS=Sus scrofa OX=9823 PE=1 SV=1	contam_contam_contam_sp|P00761|TRYP_PIG Trypsin OS=Sus scrofa OX=9823 PE=1 SV=1		231			contam_contam_contam_sp|P00761|TRYP_PIG Trypsin OS=Sus scrofa OX=9823 PE=1 SV=1	1.0	0.999	4	178	178	178	14	12	7	8	9	15	8	9	9	10	14	12	14	13	8	16	14	12	7	8	9	15	8	9	9	10	14	12	14	13	8	16	14	12	7	8	9	15	8	9	9	10	14	12	14	13	8	16	115310.3	109628.734	101712.555	111094.8	104744.16	113888.25	112423.78	106802.11	111923.16	121180.37	117237.805	127610.4	126441.734	129349.16	120569.56	127014.66	36235.516	34828.617	30665.426	35110.605	33629.883	35818.33	35145.67	32987.23	35942.22	36510.387	35008.844	37957.02	38038.707	38525.98	36535.32	37786.137	
contam_contam_contam_sp|P02769|ALBU_BOVIN	contam_contam_contam_sp|P02769|ALBU_BOVIN Albumin OS=Bos taurus OX=9913 GN=ALB PE=1 SV=4	contam_contam_contam_sp|P02769|ALBU_BOVIN Albumin OS=Bos taurus OX=9913 GN=ALB PE=1 SV=4		607			contam_contam_contam_sp|P02769|ALBU_BOVIN Albumin OS=Bos taurus OX=9913 GN=ALB PE=1 SV=4	1.0	0.999	14	146	133	146	9	10	5	12	10	9	9	11	10	8	7	9	10	9	7	11	8	9	5	12	9	9	8	10	9	6	7	8	10	7	6	10	9	10	5	12	10	9	9	11	10	8	7	9	10	9	7	11	50018.457	49727.562	55822.523	41774.63	45201.38	43116.008	51132.59	50068.7	58966.465	56265.195	54063.54	56622.656	55434.64	55596.33	57938.4	59028.76	7467.6167	7366.244	7554.688	6838.494	7161.7715	7579.8564	7497.3823	6912.527	7082.4126	6957.5625	7419.917	6802.6543	6979.132	6458.4004	7454.843	7024.611	
contam_contam_contam_sp|P15252|REF_HEVBR	contam_contam_contam_sp|P15252|REF_HEVBR Rubber elongation factor protein OS=Hevea brasiliensis OX=3981 PE=1 SV=2	contam_contam_contam_sp|P15252|REF_HEVBR Rubber elongation factor protein OS=Hevea brasiliensis OX=3981 PE=1 SV=2		138			contam_contam_contam_sp|P15252|REF_HEVBR Rubber elongation factor protein OS=Hevea brasiliensis OX=3981 PE=1 SV=2	0.9461	0.9989	1	36	36	36	9	4	1	4	5	1	3	4	1	2	1	1	0	0	0	0	9	4	1	4	5	1	3	4	1	2	1	1	0	0	0	0	9	4	1	4	5	1	3	4	1	2	1	1	0	0	0	0	5543.926	2089.2812	3494.0305	3713.163	2156.7546	3389.8154	2539.7808	2775.9595	0.0	0.0	0.0	0.0	0.0	1221.3278	0.0	0.0	5543.926	2089.2812	3494.0305	3713.163	2156.7546	3389.8154	2539.7808	2775.9595	0.0	0.0	0.0	0.0	0.0	1221.3278	0.0	0.0	
contam_contam_sp|P00330|ADH1_YEAST	contam_contam_sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5	contam_contam_sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5		348			contam_contam_sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5	1.0	0.999	26	739	550	739	59	55	33	56	54	57	62	57	32	37	39	35	35	44	43	41	44	40	24	40	42	39	43	43	25	29	29	26	26	35	33	32	59	55	33	56	54	57	62	57	32	37	39	35	35	44	43	41	701055.44	688728.2	684322.3	675944.1	685609.9	675808.0	632313.5	638441.44	306194.28	354301.94	348522.38	314016.06	378350.3	377842.1	333131.66	374590.66	84015.32	82100.125	82488.91	81243.21	82124.27	81696.984	82822.234	83377.875	45664.75	46282.69	45978.055	46027.11	47012.457	47461.04	46240.094	47513.88	
contam_contam_sp|P00441|SODC_HUMAN	contam_contam_sp|P00441|SODC_HUMAN Superoxide dismutase [Cu-Zn] OS=Homo sapiens OX=9606 GN=SOD1 PE=1 SV=2	contam_contam_sp|P00441|SODC_HUMAN Superoxide dismutase [Cu-Zn] OS=Homo sapiens OX=9606 GN=SOD1 PE=1 SV=2		154			contam_contam_sp|P00441|SODC_HUMAN Superoxide dismutase [Cu-Zn] OS=Homo sapiens OX=9606 GN=SOD1 PE=1 SV=2	1.0	0.999	5	149	149	149	8	6	7	10	9	10	7	9	7	10	13	11	12	10	10	10	8	6	7	10	9	10	7	9	7	10	13	11	12	10	10	10	8	6	7	10	9	10	7	9	7	10	13	11	12	10	10	10	78532.81	75011.65	55841.543	81453.61	78659.61	71501.086	72875.016	79108.44	71911.445	72273.125	81296.55	81183.61	74314.22	83079.22	72856.39	77464.47	21427.576	19976.031	21277.943	22285.086	21178.04	19408.7	18844.477	20940.06	20616.709	19335.047	22686.812	22747.955	21912.146	22437.977	21603.12	21535.438	
contam_contam_sp|P04040|CATA_HUMAN	contam_contam_sp|P04040|CATA_HUMAN Catalase OS=Homo sapiens OX=9606 GN=CAT PE=1 SV=3	contam_contam_sp|P04040|CATA_HUMAN Catalase OS=Homo sapiens OX=9606 GN=CAT PE=1 SV=3		527			contam_contam_sp|P04040|CATA_HUMAN Catalase OS=Homo sapiens OX=9606 GN=CAT PE=1 SV=3	1.0	0.999	7	17	17	17	1	1	0	0	1	0	2	1	2	0	2	0	3	3	0	1	1	1	0	0	1	0	2	1	2	0	2	0	3	3	0	1	1	1	0	0	1	0	2	1	2	0	2	0	3	3	0	1	3301.8958	4281.7695	3495.3525	8180.506	7347.076	7186.5327	4440.8647	3316.4104	11938.367	10964.933	11309.639	8379.86	14498.637	10518.69	8240.723	11779.471	3404.3928	4414.6836	4077.6423	4477.7227	4185.9185	3837.8472	4578.7173	3419.358	3755.099	4348.507	3696.913	3035.7617	4653.3203	3610.6287	3637.5728	3487.95	
contam_contam_sp|P04264|K2C1_HUMAN	contam_contam_sp|P04264|K2C1_HUMAN Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6	contam_contam_sp|P04264|K2C1_HUMAN Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6		644			contam_contam_sp|P04264|K2C1_HUMAN Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6	1.0	0.9987	4	24	24	42	2	3	3	3	2	2	2	2	0	1	1	0	1	0	1	1	2	3	3	3	2	2	2	2	0	1	1	0	1	0	1	1	3	4	3	4	2	3	3	3	2	3	3	1	2	1	2	3	19133.795	21648.691	23768.102	20875.637	21698.57	19642.86	20547.893	9562.533	5931.3237	4124.859	3980.9573	6906.6416	6368.51	3724.9504	7500.4824	6906.638	10274.963	11962.021	12957.681	11785.262	11763.604	10805.3955	11393.732	11526.557	3217.1465	4972.0527	4305.7803	3959.9468	3683.264	4490.0083	4304.0938	3996.6858	
contam_contam_sp|P06396|GELS_HUMAN	contam_contam_sp|P06396|GELS_HUMAN Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1	contam_contam_sp|P06396|GELS_HUMAN Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1		782			contam_contam_sp|P06396|GELS_HUMAN Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1	0.8414	0.9964	1	2	2	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2533.4639	3144.3113	3327.492	0.0	0.0	0.0	2023.339	0.0	0.0	2620.72	1602.9595	3322.5493	1858.8048	0.0	2327.6091	3407.4683	2533.4639	3144.3113	3327.492	0.0	0.0	0.0	2023.339	0.0	0.0	2620.72	1602.9595	3322.5493	1858.8048	0.0	2327.6091	3407.4683	
