Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	A10_1 Spectral Count	A10_2 Spectral Count	A10_3 Spectral Count	A10_4 Spectral Count	A10_5 Spectral Count	A10_6 Spectral Count	A10_7 Spectral Count	A10_8 Spectral Count	B10_1 Spectral Count	B10_2 Spectral Count	B10_3 Spectral Count	B10_4 Spectral Count	B10_5 Spectral Count	B10_6 Spectral Count	B10_7 Spectral Count	B10_8 Spectral Count	A10_1 Unique Spectral Count	A10_2 Unique Spectral Count	A10_3 Unique Spectral Count	A10_4 Unique Spectral Count	A10_5 Unique Spectral Count	A10_6 Unique Spectral Count	A10_7 Unique Spectral Count	A10_8 Unique Spectral Count	B10_1 Unique Spectral Count	B10_2 Unique Spectral Count	B10_3 Unique Spectral Count	B10_4 Unique Spectral Count	B10_5 Unique Spectral Count	B10_6 Unique Spectral Count	B10_7 Unique Spectral Count	B10_8 Unique Spectral Count	A10_1 Total Spectral Count	A10_2 Total Spectral Count	A10_3 Total Spectral Count	A10_4 Total Spectral Count	A10_5 Total Spectral Count	A10_6 Total Spectral Count	A10_7 Total Spectral Count	A10_8 Total Spectral Count	B10_1 Total Spectral Count	B10_2 Total Spectral Count	B10_3 Total Spectral Count	B10_4 Total Spectral Count	B10_5 Total Spectral Count	B10_6 Total Spectral Count	B10_7 Total Spectral Count	B10_8 Total Spectral Count	A10_1 Intensity	A10_2 Intensity	A10_3 Intensity	A10_4 Intensity	A10_5 Intensity	A10_6 Intensity	A10_7 Intensity	A10_8 Intensity	B10_1 Intensity	B10_2 Intensity	B10_3 Intensity	B10_4 Intensity	B10_5 Intensity	B10_6 Intensity	B10_7 Intensity	B10_8 Intensity	A10_1 MaxLFQ Intensity	A10_2 MaxLFQ Intensity	A10_3 MaxLFQ Intensity	A10_4 MaxLFQ Intensity	A10_5 MaxLFQ Intensity	A10_6 MaxLFQ Intensity	A10_7 MaxLFQ Intensity	A10_8 MaxLFQ Intensity	B10_1 MaxLFQ Intensity	B10_2 MaxLFQ Intensity	B10_3 MaxLFQ Intensity	B10_4 MaxLFQ Intensity	B10_5 MaxLFQ Intensity	B10_6 MaxLFQ Intensity	B10_7 MaxLFQ Intensity	B10_8 MaxLFQ Intensity	Indistinguishable Proteins
contam_contam_contam_sp|O82803|SRPP_HEVBR	contam_contam_contam_sp|O82803|SRPP_HEVBR Small rubber particle protein OS=Hevea brasiliensis OX=3981 GN=SRPP PE=1 SV=1	contam_contam_contam_sp|O82803|SRPP_HEVBR Small rubber particle protein OS=Hevea brasiliensis OX=3981 GN=SRPP PE=1 SV=1		204			contam_contam_contam_sp|O82803|SRPP_HEVBR Small rubber particle protein OS=Hevea brasiliensis OX=3981 GN=SRPP PE=1 SV=1	0.9999	0.999	2	26	26	26	3	2	4	2	2	1	1	2	1	1	1	1	1	1	1	2	3	2	4	2	2	1	1	2	1	1	1	1	1	1	1	2	3	2	4	2	2	1	1	2	1	1	1	1	1	1	1	2	137466.45	56112.805	154140.53	120043.69	120779.9	90476.62	131575.77	111218.734	58371.47	64640.816	30434.023	88117.8	41012.656	40845.117	31675.988	42987.42	104508.92	56112.805	134731.75	99746.27	96875.23	68705.13	97034.74	95519.05	58371.47	49780.582	30434.023	88117.8	32760.99	34461.13	31675.988	37167.316	
contam_contam_contam_sp|P00761|TRYP_PIG	contam_contam_contam_sp|P00761|TRYP_PIG Trypsin OS=Sus scrofa OX=9823 PE=1 SV=1	contam_contam_contam_sp|P00761|TRYP_PIG Trypsin OS=Sus scrofa OX=9823 PE=1 SV=1		231			contam_contam_contam_sp|P00761|TRYP_PIG Trypsin OS=Sus scrofa OX=9823 PE=1 SV=1	1.0	0.999	4	446	446	446	24	26	26	25	24	29	27	30	27	33	27	31	30	31	24	32	24	26	26	25	24	29	27	30	27	33	27	31	30	31	24	32	24	26	26	25	24	29	27	30	27	33	27	31	30	31	24	32	1666164.5	2317180.2	2303308.2	2337606.8	2435968.5	2291699.5	2353023.5	2479011.0	2336909.8	2427284.2	2420500.5	2413947.0	2449546.0	2480051.5	2338706.5	2506679.0	580309.1	879941.8	909159.9	921112.25	958704.75	928709.44	917482.75	935956.0	926731.25	909261.9	900352.6	942861.4	922047.3	977904.44	960449.94	993295.9	
contam_contam_contam_sp|P00921|CAH2_BOVIN	contam_contam_contam_sp|P00921|CAH2_BOVIN Carbonic anhydrase 2 OS=Bos taurus OX=9913 GN=CA2 PE=1 SV=3	contam_contam_contam_sp|P00921|CAH2_BOVIN Carbonic anhydrase 2 OS=Bos taurus OX=9913 GN=CA2 PE=1 SV=3		260			contam_contam_contam_sp|P00921|CAH2_BOVIN Carbonic anhydrase 2 OS=Bos taurus OX=9913 GN=CA2 PE=1 SV=3	0.957	0.9987	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7590.923	13679.265	15183.07	0.0	14682.076	13175.145	14606.267	12404.869	6448.8154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7590.923	13679.265	15183.07	0.0	14682.076	13175.145	14606.267	12404.869	6448.8154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_contam_contam_sp|P02666|CASB_BOVIN	contam_contam_contam_sp|P02666|CASB_BOVIN Beta-casein OS=Bos taurus OX=9913 GN=CSN2 PE=1 SV=2	contam_contam_contam_sp|P02666|CASB_BOVIN Beta-casein OS=Bos taurus OX=9913 GN=CSN2 PE=1 SV=2		224			contam_contam_contam_sp|P02666|CASB_BOVIN Beta-casein OS=Bos taurus OX=9913 GN=CSN2 PE=1 SV=2	0.9628	0.9989	1	4	4	4	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0.0	2723.2422	0.0	0.0	0.0	0.0	4843.447	4234.773	5989.9272	5720.101	8978.762	5702.771	6560.094	3981.1025	8794.939	0.0	0.0	2723.2422	0.0	0.0	0.0	0.0	4843.447	4234.773	5989.9272	5720.101	8978.762	5702.771	6560.094	3981.1025	8794.939	0.0	
contam_contam_contam_sp|P02769|ALBU_BOVIN	contam_contam_contam_sp|P02769|ALBU_BOVIN Albumin OS=Bos taurus OX=9913 GN=ALB PE=1 SV=4	contam_contam_contam_sp|P02769|ALBU_BOVIN Albumin OS=Bos taurus OX=9913 GN=ALB PE=1 SV=4		607			contam_contam_contam_sp|P02769|ALBU_BOVIN Albumin OS=Bos taurus OX=9913 GN=ALB PE=1 SV=4	1.0	0.999	46	1038	965	1038	64	60	60	67	67	60	61	61	69	65	63	69	67	69	68	68	59	59	54	61	64	56	56	57	63	59	58	64	63	64	63	65	64	60	60	67	67	60	61	61	69	65	63	69	67	69	68	68	2465261.8	2514133.2	2438349.8	2396264.5	2567718.8	2456471.0	2414584.0	2431396.2	2349280.5	2425308.2	2322990.0	2433211.0	2456495.5	2525434.0	2494719.8	2411099.2	164213.89	163474.38	161915.12	162589.53	164179.36	162363.27	163648.52	160070.08	159905.36	160525.42	161380.66	163761.28	162028.25	164117.16	163048.3	162767.38	
contam_contam_contam_sp|P15252|REF_HEVBR	contam_contam_contam_sp|P15252|REF_HEVBR Rubber elongation factor protein OS=Hevea brasiliensis OX=3981 PE=1 SV=2	contam_contam_contam_sp|P15252|REF_HEVBR Rubber elongation factor protein OS=Hevea brasiliensis OX=3981 PE=1 SV=2		138			contam_contam_contam_sp|P15252|REF_HEVBR Rubber elongation factor protein OS=Hevea brasiliensis OX=3981 PE=1 SV=2	0.8603	0.9955	1	3	3	3	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	13178.61	0.0	6537.535	10131.755	11216.562	12458.089	12584.772	13326.915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13178.61	0.0	6537.535	10131.755	11216.562	12458.089	12584.772	13326.915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_contam_contam_sp|P32503|GAG_SCVLA	contam_contam_contam_sp|P32503|GAG_SCVLA Major capsid protein OS=Saccharomyces cerevisiae virus L-A OX=11008 GN=gag PE=1 SV=1	contam_contam_contam_sp|P32503|GAG_SCVLA Major capsid protein OS=Saccharomyces cerevisiae virus L-A OX=11008 GN=gag PE=1 SV=1		680			contam_contam_contam_sp|P32503|GAG_SCVLA Major capsid protein OS=Saccharomyces cerevisiae virus L-A OX=11008 GN=gag PE=1 SV=1	1.0	0.999	14	135	135	135	9	10	12	10	12	13	10	10	6	6	6	6	7	4	7	7	9	10	12	10	12	13	10	10	6	6	6	6	7	4	7	7	9	10	12	10	12	13	10	10	6	6	6	6	7	4	7	7	344037.94	273223.47	395347.25	340031.3	420426.5	258647.2	374644.25	353018.47	323823.3	188654.6	180357.89	211777.17	319428.84	302225.5	237220.47	187172.05	95944.63	121025.93	131103.4	123784.45	128123.93	124345.59	125378.35	125645.734	73179.52	76193.57	69148.41	67307.27	70443.0	70840.516	71221.42	68920.81	
contam_contam_contam_sp|Q7M135|LYSC_LYSEN	contam_contam_contam_sp|Q7M135|LYSC_LYSEN Lysyl endopeptidase OS=Lysobacter enzymogenes OX=69 PE=1 SV=1	contam_contam_contam_sp|Q7M135|LYSC_LYSEN Lysyl endopeptidase OS=Lysobacter enzymogenes OX=69 PE=1 SV=1		269			contam_contam_contam_sp|Q7M135|LYSC_LYSEN Lysyl endopeptidase OS=Lysobacter enzymogenes OX=69 PE=1 SV=1	0.8522	0.9952	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_contam_sp|P00330|ADH1_YEAST	contam_contam_sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5	contam_contam_sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5		348			contam_contam_sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5	1.0	0.999	34	1715	1184	1715	137	126	122	134	117	120	126	121	81	95	91	94	92	82	85	92	96	90	84	88	83	88	84	87	54	64	63	67	61	56	56	63	137	126	122	134	117	120	126	121	81	95	91	94	92	82	85	92	2.1942386E7	2.2049684E7	2.20127E7	2.1649402E7	2.1645308E7	2.0774782E7	2.2043646E7	2.2327228E7	1.1249385E7	1.0920767E7	1.1109286E7	1.1059518E7	1.1172428E7	1.0649037E7	1.1083047E7	1.0924298E7	4815736.5	4930615.5	5062901.0	4800175.0	4761127.0	4636593.0	4795163.5	4701955.0	2603322.2	2603121.2	2676749.2	2588667.0	2612907.0	2561277.0	2659515.0	2622424.8	
contam_contam_sp|P00441|SODC_HUMAN	contam_contam_sp|P00441|SODC_HUMAN Superoxide dismutase [Cu-Zn] OS=Homo sapiens OX=9606 GN=SOD1 PE=1 SV=2	contam_contam_sp|P00441|SODC_HUMAN Superoxide dismutase [Cu-Zn] OS=Homo sapiens OX=9606 GN=SOD1 PE=1 SV=2		154			contam_contam_sp|P00441|SODC_HUMAN Superoxide dismutase [Cu-Zn] OS=Homo sapiens OX=9606 GN=SOD1 PE=1 SV=2	1.0	0.999	11	363	363	363	19	23	19	20	20	23	22	21	22	22	25	24	25	29	27	22	19	23	19	20	20	23	22	21	22	22	25	24	25	29	27	22	19	23	19	20	20	23	22	21	22	22	25	24	25	29	27	22	2154319.8	2301509.5	2359743.5	2294882.8	2227391.8	2245669.0	2347183.2	2299650.0	2513936.0	2551726.2	2583467.5	2559844.5	2552099.8	2564601.5	2552036.0	2570528.8	518632.38	573051.3	580603.06	563056.06	560896.56	554832.3	579478.2	576065.94	632563.44	651475.56	663241.6	647538.3	647391.3	649990.9	645342.1	642938.7	
