Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_100pg_S1-A3_1_12089.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_100pg_S1-B3_1_12090.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_100pg_S1-C3_1_12091.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_100pg_S1-D3_1_12092.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_100pg_S1-E3_1_12093.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_100pg_S1-F3_1_12094.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_100pg_S1-G3_1_12095.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_100pg_S1-H3_1_12096.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_100pg_S1-A7_1_12097.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_100pg_S1-B7_1_12098.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_100pg_S1-C7_1_12099.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_100pg_S1-D7_1_12100.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_100pg_S1-E7_1_12101.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_100pg_S1-F7_1_12102.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_100pg_S1-G7_1_12103.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_100pg_S1-H7_1_12104.d
A0A024R1R8;Q9Y2S6	TMA7B_HUMAN;TMA7_HUMAN	TMA7;TMA7B	Translation machinery-associated protein 7B	2	0	1058.3	929.7	678.371	634.494	899.477	855.507	897.548	445.382	1181.46	680.605	389.56	669.425	612.964		480.658	817.883
A0A024RBG1;Q8NFP7;Q96G61;Q9NZJ9	NUD10_HUMAN;NUD11_HUMAN;NUD4B_HUMAN;NUDT4_HUMAN	NUDT10;NUDT11;NUDT4;NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	1	0	2308.45	1445.51	2830.31	2510.78	2563.08	1363.56	1578.58	2227.77	3045.86	1819.99	1584.37	1832.27	1839.09	1528.99		2317.25
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	7	7	1739.7	1937.08	1835.95	1941.89	2032	1653.45	1947.71	2149.63	2212.49	1660.45	2358.25	2310.63	2009.61	1643	1633.2	2121.47
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	1	1		1318.64				726.087	1016.34	1429.02	714.365		1006.39	623.541	798.262	729.346	815.656	672.805
A1L429;A6NDE8;A6NER3;O76087;P0CL80;P0CL81;P0CL82;P0DSO3;P0DTW1;Q13069;Q13070;Q4V321;Q4V326	GAG13_HUMAN;GAG2E_HUMAN;GAGE1_HUMAN;GAGE4_HUMAN;GAGE5_HUMAN;GAGE6_HUMAN;GAGE7_HUMAN;GG12C_HUMAN;GG12F_HUMAN;GG12G_HUMAN;GG12H_HUMAN;GG12I_HUMAN;GG12J_HUMAN	GAGE1;GAGE12B;GAGE12F;GAGE12G;GAGE12H;GAGE12I;GAGE12J;GAGE13;GAGE2E;GAGE4;GAGE5;GAGE6;GAGE7	G antigen 12B/C/D/E	1	0	7163.59	10611.3	7630.77	10286.8	7016.89	5737.08	6843.15	4918.67	7690.9	10833.7	7283.98	8997.69	10717.6	7098.9	8082.9	9787.39
A4D1F6	LRRD1_HUMAN	LRRD1	Leucine-rich repeat and death domain-containing protein 1	1	1										3015.64			3857.83			4449.54
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	1	1		629.272		403.895			463.775	373.118					538.182		387.525	581.475
A6NCE7;Q9GZQ8;Q9H492	MLP3A_HUMAN;MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3A;MAP1LC3B;MAP1LC3B2	Microtubule-associated protein 1 light chain 3 beta 2	1	0	2199.27	1563.77	2349.58	1710.93	1818.97	2145.43		2565.17	1878.76	1553.92	1401.34	2273.21	1853.63	2326.65	1692.66	2390.06
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	1	1		549.101		1083.69	783.413	548.728	1332.58		1253.83	925.552	904.662	558.206	1125.85	1186.85	843.913	
A6NHG4;P30046	DDTL_HUMAN;DOPD_HUMAN	DDT;DDTL	Putative D-dopachrome decarboxylase-like protein	1	0	3487.56	3736.02	3714.46	4170.81	4713.45	3873.84	4627.92	3547.02	4803.4	3778.04	3964.2		3602.42	4741.21	4347.1	4565.53
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	4	4	1097.63	1201.06	882.967	892.54	1037.69	1175.39	940.995	1084.85	989.916	1054.07		900.799	868.687	656.975	877.973	1161.24
B5ME19;Q99613	EIF3C_HUMAN;EIFCL_HUMAN	EIF3C;EIF3CL	Eukaryotic translation initiation factor 3 subunit C-like protein	11	0	4838.38	4004.74	4526.65	4664.06	4608.42	4779.21	4418.06	4115.73	4915.47	4578.67	4638	4194.8	4254.06	4591.73	4843.79	4190.65
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	7	6	14223.2	16094.1	13986.5	16695.9	15515.5	14954.7	16022.4	15321.6	13824.9	14124.9	13811.9	14101	15376	15527.6	14694.5	13643.4
G2XKQ0	SUMO5_HUMAN	SUMO1P1	Small ubiquitin-related modifier 5	2	0		1461.71	2655.06	1956.24	2273.02	1651.16	1895.47	1724.53		2070.47	2579.77	1842.78	3154.81	2062.6	2310.99	2047.66
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	2	2	2554.25	2807.83	2486.28	2393.77	2932.5	3156.07	2849.13	3373.07	2536.38	4227.08	2876.85	2554.13	3646.86	3196.44	3114.29	3466.08
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	7	7	4610.88	5086.43	4572.47	4615.25	4789.23	4573.75	5005.8	4819.78	4520.8	5473.54	5824.5	5068.71	5489.08	4904.57	4672.45	4386.58
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	7	7	2283.3	1653.76	2157.8	2001.77	2072.29	2134.98	1700.85	1865.05	1885.61	1515.48	2243.36	1895.65	1937.07	2075.13	1492.36	1773.16
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	4	4	1764.17	1843.46	2055.53	2342.18	2209.61	2516.66	1971.17	2158.89	2248.44	1932.74	2053.24	1912.13	2640.7	1695.6	2225.13	1572.9
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	2	2	1317.72	848.06	794.274	1105.16	714.919	907.46	883.336	975.79	1247.18	981.526	933.483	1442.24	1270.72	856.426	760.57	792.204
O00193	SMAP_HUMAN	SMAP	Small acidic protein	1	1	2653.03	3379.85	2467.39	2589.29	2513.97	3333.69	2703.12	2991.45	2605.18	2338.47	3067.71	2308.15	2305.06	2731.06	1885.2	2296.68
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	19	18	12722.9	12579.3	13164.1	12896.1	12354.6	13149.9	12933.3	13951.5	12978.3	13563	12873.7	13320.8	13044	12782.2	13818.2	12339
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	4	4	1416.63	1848.94	2250.74	1420.03	1862.37	2174.29	1727.78	1862.5	1915.33	1760.94	2233.53	1735.37	1733.38	1648.63	1730.34	1987.51
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	4	4	3693.69	2502.77	3145.81	2785.37	2749.96	3151.01	3261.82	2414.51	3224.27	2931.94	2611.46	2912.25	2852.7	3228.25	2584.77	3054.83
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	2	2	3114.89	2856.85	2987.17	2496.96	2884.82	3252.86	2668.95	1926.91	2956.54	2229.24	2302.9	2565.56	2850.95	1971.8	3112.49	2876.1
O00255	MEN1_HUMAN	MEN1	Menin	1	1				521.84	1186.37										517.194	1173.12
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	2	1	2362.28		1562.07	1436.59	1325.56	1295.29		1256.78	1181.2	1037.63		1244.03	1418.45	1519.23	1266.34	1449.75
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	5	5	1507.18	1582.08	1708.81	1952.79	1489.81	1187.64	1515.06	1643.36	1590.37	1726.66	1538.28	1270.69	1574.98	1655.38	1508.72	1675.04
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	4	4	2010.32	2086.46	1935.27	1869.3	1801.76	2041.1	2119.12	2171.16	1719.11	1448.42	2021.99	1908.22	1444.89	1596.89	1635.58	1682.14
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	12	12	56987.3	51290.1	54257.4	49534.9	52356.6	52178.6	50392.3	55277	52738.6	50798.3	50248.2	54835	53182.5	54819.8	55208.2	54810.5
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	5	5	2925.97	2831.84	3190.13	2690.59	3123.21	3481.52	2801.05	3036.6	2505.61	3142.31	3149.34	2635.6	3248.75	3192.39	2275.72	2502.54
O00410	IPO5_HUMAN	IPO5	Importin-5	9	8	1920.59	2165.81	2172.49	1971.54	2246.31	2551.74	2163.11	2174.44	1942.57	1781.72	2150.78	1933.42	2087.75	2179.98	2007.87	1484.8
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	2	2	2416.63	3749.4	3081.19	3113.79	3671.06	2385.91	3150.86	2242.64	3421.81	2934.53	2432.63	2688.54	3351.96	3199.78	4453.26	3075.55
O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	10	10	3218.96	3081.64	2817.5	3435.65	2572.84	2887.51	3399.94	3319.22	3183.79	3304.91	3513.88	3363.07	2939.49	2750.42	2948.34	3439.18
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	5	5	1634.71	1560.73	1741.81	1704.67	2129.13	1424.26	2018.97	1719.25	1804.06	1922.16	1372.14	1711.36	1958.52	2005.32	1725.54	1480.1
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	1	1	1486.32		1598.54											932.216	916.802	
O00483	CXFA4_HUMAN	COXFA4	Cytochrome c oxidase subunit FA4	2	2	1389.2	2729.98	3111.34	2717.04	2885.2	2768.46	2966.74	3235.83	2455.34	2588.7	2231.18	2793.27	2751.72	2254	2857.36	2435.73
O00487	PSDE_HUMAN	PSMD14	Ubiquitin C-terminal hydrolase PSMD14	3	1	5352.53	4855.56	4389.43	4410.93	4630.18	4796.85	3936.04	4091.05	4344.05	4718.9	4079.39	4022.15	5239.32	5023.68	4123.62	4550.54
O00541	PESC_HUMAN	PES1	Pescadillo homolog	5	5	2692.67	2210.31	1915.04	2548.66	2196.73	2816.33	2150.51	2727.43	2061.75	2637.38	2395.53	2455.7	3017.52	2663.57	2534.98	2146.79
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	4	4	1505.28	1341.86	1066.81	994.659	1568.34		1660.94	1224.41	1777.57	1196.75	1336.17	1332.57	1312.04	1731.21	1204.72	1840.06
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	19	8	7458.56	7072.73	7729.27	7200.37	7459.4	7651.9	6945.1	7337.77	6370.27	6866.12	6806.3	6168.03	6130.99	6694.92	6480.05	6610.47
O00625	PIR_HUMAN	PIR	Pirin	1	1	807.632						1312.85							1071.11		786.188
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	3	2	2946.41	3184.97	2566.55	2556.08	3018.7	3297.83	2392.77	2772.42	2393.75	2933	3131.54	3246.03	2801.52	3298.83	3661.27	3342.39
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	3	3	3287.65	2022.14	2664.29	1974.7	2535.33	2059.03	3076.97	2127.73	2441.25	2411.15	2765.13	2255.55	2989.3	2644.72	2289.81	2017.54
